Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Rating_InternetMovieDatabase,Rating_RottenTomatoes,Rating_Metacritic,Error,Season,Episode,seriesID
Brothers,2015,N/A,01 Jan 2015,11 min,"Short, Thriller",Robert Eggers,Robert Eggers,"Ethan Sailor, Griffin Fox Smith, Beth Brown","The story of two brothers, Tom and Jake, and their problematic relationship.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMDM2NzFjMjUtNjM4OC00YTZiLTg2M2ItZWJlNmNjYjZkZmQ5XkEyXkFqcGc@._V1_SX300.jpg,N/A,6.6,"1,010",tt5803522,movie,N/A,N/A,N/A,N/A,True,6.6/10,,,,,,
Brothers,1930,Passed,19 Oct 1930,63 min,"Crime, Drama, Romance",Walter Lang,"Herbert Aston Jr., Sidney Lazarus, John T. Neville","Bert Lytell, Dorothy Sebastian, William Morris","Bob Naughton and Eddie Connolly are identical-twin brothers that were separated in infancy. Bob is raised by a rich lawyer, has all the advantages, but is a drunk with no moral character. Eddie is a pianist in a speak-easy but a man ","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BMDUxZTExOWQtZTNjYS00MDkxLTgzNjAtM2FiNTNiOTIzYWEyXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,N/A,N/A,N/A,tt0020716,movie,N/A,N/A,N/A,N/A,True,,,,,,,
Brothers,2019,N/A,25 Dec 2019,N/A,"Short, Drama",Dan Allen,Allana Carnie,"Tommy Lucas, Brad Allen, Dan Allen","A deadbeat alcoholic witnesses his brother's death; a man who had his whole life figured out. In a grieving mess, he seeks vengeance on the one who took it all away.",English,Australia,N/A,https://m.media-amazon.com/images/M/MV5BODYxOWJiYzMtMjViNS00ZTc3LThlNDgtMTZkM2UwYjdkOTIyXkEyXkFqcGdeQXVyNTY0MzYxNjY@._V1_SX300.jpg,N/A,8.1,8,tt9614314,movie,N/A,N/A,N/A,N/A,True,8.1/10,,,,,,
Brothers,1977,R,03 Aug 1977,105 min,"Biography, Drama",Arthur Barron,"Edward Lewis, Mildred Lewis","Bernie Casey, Vonetta McGee, Ron O'Neal","Thinly disguised account of the relationship between radical black activist Angela Davis and Black Panther and prison inmate George Jackson, who was killed in a failed 1971 prison breakout.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNmRhZDliMjYtZTdkOC00NmEzLWFkOGQtYTY1ZjYxMTIzZDIwXkEyXkFqcGc@._V1_SX300.jpg,N/A,6.6,198,tt0075787,movie,N/A,N/A,N/A,N/A,True,6.6/10,,,,,,
Brothers,2024,R,17 Oct 2024,89 min,"Action, Comedy, Crime",Max Barbakow,"Etan Cohen, Macon Blair","Josh Brolin, Peter Dinklage, Taylour Paige","Two criminal twin brothers, one who is trying to reform, embark on a dangerous heist road trip. Facing legal troubles, gunfights, and family drama, they must reconcile their differences before their mission leads to self-destruction.",English,United States,1 nomination total,https://m.media-amazon.com/images/M/MV5BYWJhMmQ3YzEtMGQyMS00ODI3LWFmYjgtOWNhZDkzMjk5MzFjXkEyXkFqcGc@._V1_SX300.jpg,50,5.4,"14,024",tt9860566,movie,N/A,N/A,N/A,N/A,True,5.4/10,42%,50/100,,,,
Brothers,1929,N/A,01 Mar 1929,55 min,Drama,Scott Pembroke,"Ford Beebe, Arthur Hoerl","Cornelius Keefe, Arthur Rankin, Barbara Bedford","Young orphaned brothers Tom and Bob are separated when Bob is taken to an orphan asylum by the authorities and Tom escapes. As time goes by Tom takes to a life of crime, but uses the proceeds to contribute to Bob's education. Year...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMzk5ZmJmMmMtMmI2YS00NWJmLTlmZjktYzdmMTA1YWE5YzQ5XkEyXkFqcGdeQXVyOTk0NTYwMzA@._V1_SX300.jpg,N/A,6.1,18,tt0019732,movie,N/A,N/A,N/A,N/A,True,6.1/10,,,,,,
Ninja Assassin,2009,R,25 Nov 2009,99 min,"Action, Thriller",James McTeigue,"Matthew Sand, J. Michael Straczynski","Rain, Rick Yune, Naomie Harris","A young ninja turns his back on the orphanage that raised him, leading to a confrontation with a fellow ninja from the clan.",English,"Germany, United States, France",N/A,https://m.media-amazon.com/images/M/MV5BMTcxNDYzMjU1Ml5BMl5BanBnXkFtZTcwMTYzOTM3Mg@@._V1_SX300.jpg,34,6.3,"78,576",tt1186367,movie,N/A,"$38,122,883",N/A,N/A,True,6.3/10,25%,34/100,,,,
Me and Orson Welles,2008,PG-13,18 Dec 2009,114 min,"Comedy, Drama",Richard Linklater,"Robert Kaplow, Holly Gent, Vincent Palmo Jr.","Zac Efron, Claire Danes, Christian McKay","In 1937, a teenager is cast in the Mercury Theatre production of ""Julius Caesar"", directed by a young Orson Welles.",English,"United Kingdom, Isle of Man, United States",Nominated for 1 BAFTA Award5 wins & 27 nominations total,https://m.media-amazon.com/images/M/MV5BNzc3MzIyMTItYjZmOS00NzE2LWFkMGItMjNmOGRjZDg2MDU1XkEyXkFqcGc@._V1_SX300.jpg,73,6.7,"12,196",tt1175506,movie,N/A,"$1,190,003",N/A,N/A,True,6.7/10,86%,73/100,,,,
Small Change,2022,N/A,09 Dec 2022,17 min,"Short, Drama",Mali Harries,Carmen Medway-Stephens,"Katie Pritchard, Robert Pugh, Elin Harries","It's the run up to prom night for Leila and her friends in the Garw Valley. With money tight, and the pressures of the cost of living weighing heavy on her shoulders, will it stop Leila's celebration?",N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BNDVlMGQ0M2QtZWU3OS00OTM4LWIzMDgtMWE3NDU5YjU3ODhiXkEyXkFqcGdeQXVyMTUxMzA4ODE4._V1_SX300.jpg,N/A,N/A,N/A,tt24221134,episode,,,,,True,,,,,14,1,tt6263066
Small Change,2020,N/A,N/A,13 min,Short,Ian Barling,Ian Barling,"Sonny Chatrath, Ashley Jordyn, Devyn McDowell",An unruly young mother and her two kids spend a hot summer day illicitly making ends meet on the Atlantic City boardwalk.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZTE2ZDA5NTItOGRjNC00M2NlLTg3YWEtMWU3Y2M1MDkyMTQ0XkEyXkFqcGdeQXVyNDExNzEyNDA@._V1_SX300.jpg,N/A,N/A,N/A,tt11478992,movie,N/A,N/A,N/A,N/A,True,,,,,,,
Small Change,2010,N/A,N/A,17 min,"Short, Drama, Family",Cathy Brady,Cathy Brady,"Nora-Jane Noone, Olivia Nash, Tina Maxwell, John Paul O'Boyle","Karen, a young single mother is bored by routine. Slot machines have become her secret thrill and addiction. With Christmas looming, a desperate hope for a big win sees her life spiral out of control.",English,"UK, Ireland",3 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BNTU3MDY2MjkxN15BMl5BanBnXkFtZTcwNzMwNDM2Mw@@._V1_SX300.jpg,N/A,6.0,21,tt1683494,movie,N/A,N/A,N/A,N/A,True,6.0/10,,,,,,
The Blind Side,2009,PG-13,20 Nov 2009,129 min,"Biography, Drama, Sport",John Lee Hancock,"John Lee Hancock, Michael Lewis","Sandra Bullock, Tim McGraw, Quinton Aaron","The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family.",English,United States,Won 1 Oscar. 9 wins & 30 nominations total,https://m.media-amazon.com/images/M/MV5BMjEzOTE3ODM3OF5BMl5BanBnXkFtZTcwMzYyODI4Mg@@._V1_SX300.jpg,53,7.6,"381,018",tt0878804,movie,N/A,"$255,982,860",N/A,N/A,True,7.6/10,66%,53/100,,,,
The Missing Person,2009,Not Rated,03 Dec 2009,95 min,"Drama, Mystery, Thriller",Noah Buschel,Noah Buschel,"Michael Shannon, Frank Wood, Amy Ryan","Private detective John Rosow is hired to tail a man on a train from Chicago to Los Angeles. Rosow gradually uncovers the man's identity as a missing person. Persuaded by a large reward, Rosow is charged with bringing the missing p...","English, Spanish",United States,1 win & 3 nominations,https://m.media-amazon.com/images/M/MV5BMTI3MTE4MDQyMF5BMl5BanBnXkFtZTcwODM5NTA5Mg@@._V1_SX300.jpg,57,6.0,"1,736",tt1105512,movie,N/A,"$17,896",N/A,N/A,True,6.0/10,67%,57/100,,,,
The Twilight Saga: New Moon,2009,PG-13,20 Nov 2009,130 min,"Adventure, Drama, Fantasy",Chris Weitz,"Melissa Rosenberg, Stephenie Meyer","Kristen Stewart, Robert Pattinson, Taylor Lautner","After Edward leaves because of an incident involving Bella, Jacob Black becomes her best friend, but what Bella doesn't realize is that Jacob also has a secret that will suddenly change their lives.","English, Italian",United States,23 wins & 24 nominations total,https://m.media-amazon.com/images/M/MV5BMTI3MjE3NDIxNF5BMl5BanBnXkFtZTcwODM3NTY5Mg@@._V1_SX300.jpg,44,4.8,"316,037",tt1259571,movie,N/A,"$297,816,253",N/A,N/A,True,4.8/10,28%,44/100,,,,
Planet 51,2009,PG,20 Nov 2009,91 min,"Animation, Adventure, Comedy","Jorge Blanco, Javier Abad, Marcos Martínez","Joe Stillman, Javier Abad, Jorge Blanco","Dwayne Johnson, Seann William Scott, Jessica Biel","An alien civilization is invaded by Astronaut Chuck Baker, who believes that the planet was uninhabited. Wanted by the military, Baker must get back to his ship before it goes into orbit without him.",English,"Spain, United Kingdom, United States, Canada",3 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BMTUyOTAyNTA5Ml5BMl5BanBnXkFtZTcwODU2OTM0Mg@@._V1_SX300.jpg,39,6.0,"60,848",tt0762125,movie,N/A,"$42,194,060",N/A,N/A,True,6.0/10,23%,39/100,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
The Sun,2009,N/A,N/A,N/A,Documentary,N/A,"Liam Gorman, Ira Stone",Ed Hopkins,N/A,English,United States,N/A,N/A,N/A,7.4,15,tt1477103,movie,N/A,N/A,N/A,N/A,True,7.4/10,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
The Messenger,1921,N/A,20 Nov 1921,N/A,"Short, Comedy",Jimmy Aubrey,Bud Ross,Jimmy Aubrey,N/A,None,United States,N/A,N/A,N/A,N/A,N/A,tt0820940,movie,N/A,N/A,N/A,N/A,True,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
Fantastic Mr. Fox,2009,PG,25 Nov 2009,87 min,"Animation, Adventure, Comedy",Wes Anderson,"Roald Dahl, Wes Anderson, Noah Baumbach","George Clooney, Meryl Streep, Bill Murray",An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.,"English, French","United States, United Kingdom",Nominated for 2 Oscars. 32 wins & 63 nominations total,https://m.media-amazon.com/images/M/MV5BYTA1ZTIxZDUtNGFjYS00YTc5LTgzNDMtZWNjYjBlMzI2OTk3XkEyXkFqcGc@._V1_SX300.jpg,83,7.9,"293,541",tt0432283,movie,N/A,"$21,002,919",N/A,N/A,True,7.9/10,93%,83/100,,,,
The Messenger,2015,N/A,25 Sep 2015,101 min,"Drama, Mystery, Thriller",David Blair,Andrew Kirk,"Robert Sheehan, Lily Cole, Tamzin Merchant","Jack, a tortured soul, spends his days grudgingly seeing and speaking to the dead, helping deliver their messages to the loved ones left behind while trying to seek some respite from his tormented past and present.",English,United Kingdom,1 nomination,https://m.media-amazon.com/images/M/MV5BMTk3NDk0NTMxMl5BMl5BanBnXkFtZTgwNzAyOTkzNjE@._V1_SX300.jpg,N/A,5.2,"1,276",tt3431016,movie,N/A,N/A,N/A,N/A,True,5.2/10,33%,,,,,
The Messenger,2018,N/A,08 Sep 2018,19 min,"Short, Drama",Ben Shelton,Ben Shelton,"Sherry Berg, Tom Bergeron, Ashley Bond",Burn-out high school principal becomes messenger of death.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMzY2MGUxMjYtN2U5OS00YjU1LTg0OGQtZjk4NzgzMWM1NjQ0XkEyXkFqcGdeQXVyMzIxOTUzODc@._V1_SX300.jpg,N/A,N/A,N/A,tt8965398,movie,N/A,N/A,N/A,N/A,True,,,,,,,
The Messenger,2024,N/A,27 Sep 2024,11 min,"Short, Comedy",Victor Dos Santos,Victor Dos Santos,"Ulysses Cuadra, Ken Davitian, Deborah Ishida","Hermes is a beloved bike messenger in his town, he always delivers everyones packages on time and receives nothing but smiles and good fortune in return. After delivering a package to a very disgruntled Mr. George however, Hermes'...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNmFmNGM4OGMtMTc1Mi00YTE4LWI2MjUtOGY5YmE0YWNhZGEzXkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,N/A,tt29417263,movie,N/A,N/A,N/A,N/A,True,,,,,,,
The Messenger,2015,Not Rated,04 Dec 2015,89 min,"Documentary, Family",Su Rynard,"Sally Blake, Su Rynard","Erin Byne, Dominik Eulberg, Bill Evans",The Messenger is an artful investigation into the causes of songbird mass depletion and the people working to turn the tide. This visually thrilling film reveals how the issues facing birds also pose daunting implications for our ...,"English, French, German, Dutch","Canada, France, Costa Rica, Germany, Netherlands, Turkey, United States",5 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BMTQ5MzE1OTg2OV5BMl5BanBnXkFtZTgwODY2OTMyNzE@._V1_SX300.jpg,76,7.4,128,tt4984930,movie,N/A,"$67,816",N/A,N/A,True,7.4/10,83%,76/100,,,,
Dare,2009,R,05 May 2011,92 min,"Drama, Romance",Adam Salky,David Brind,"Emmy Rossum, Zach Gilford, Ashley Springer","A drama centered around three high school seniors - an aspiring actress, her misfit best friend, and a loner - who become engaged in an intimate and complicated relationship.",English,United States,2 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BMTM5NTc0NDI1Nl5BMl5BanBnXkFtZTcwODkwNTQ5Mg@@._V1_SX300.jpg,54,5.8,"4,536",tt1241316,movie,N/A,"$18,000",N/A,N/A,True,5.8/10,59%,54/100,,,,
The Messenger,1986,R,24 Apr 1987,95 min,"Action, Drama",Fred Williamson,"Brian Johnson, Conchita Lee, Anthony Wisdom","Fred Williamson, Christopher Connelly, Cameron Mitchell","When his girlfriend dies of a drug overdose, a former Green Beret decides to take vengeance on the drug gangs responsible for her death.",English,"United States, Italy",N/A,https://m.media-amazon.com/images/M/MV5BMjMwNzk3Mzc4OV5BMl5BanBnXkFtZTgwMjE1NDgwMzE@._V1_SX300.jpg,N/A,4.5,213,tt0185495,movie,N/A,N/A,N/A,N/A,True,4.5/10,,,,,,
Dare,2005,Not Rated,13 Aug 2005,16 min,"Drama, Short",Adam Salky,David Brind,"Adam Fleming, Michael Cassidy, Marla Burkholder","High school senior Ben secretly lusts after bad boy classmate Johnny. After Ben gives Johnny a ride home one night, the boys end up in Johnny's swimming pool and have an encounter that breaks the rules and blows Ben's mind.",English,United States,3 wins,https://m.media-amazon.com/images/M/MV5BODRhNjFlYjAtNDc5Ny00OTE3LWEwOTAtNmU3MGQwNjVlN2FkXkEyXkFqcGc@._V1_SX300.jpg,N/A,7.0,"2,114",tt0450256,movie,N/A,N/A,N/A,N/A,True,7.0/10,,,,,,
Dare,2013,N/A,31 Oct 2013,3 min,"Short, Horror","Ben Franklin, Anthony Melton","Ben Franklin, Anthony Melton, Joel Morgan",Billie North,"A teenager is dared to enter a haunted house, reach the attic and count to 100. However, she hadn't banked on what she might find along the way, and the terrifying realization of what waits for her at the end.",English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BZGE5MGEyODktYzNmMC00NmQyLTlkNGYtN2UxZGMxOTdjZDQ3XkEyXkFqcGdeQXVyMjQ0NDAyNDY@._V1_SX300.jpg,N/A,6.8,38,tt3313902,movie,N/A,N/A,N/A,N/A,True,6.8/10,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
2012,2009,PG-13,13 Nov 2009,158 min,"Action, Adventure, Sci-Fi",Roland Emmerich,"Roland Emmerich, Harald Kloser","John Cusack, Thandiwe Newton, Chiwetel Ejiofor",A frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind.,"English, French, Tibetan, Mandarin, Russian, Hindi, Portuguese, Latin, Italian, Spanish",United States,5 wins & 21 nominations total,https://m.media-amazon.com/images/M/MV5BMTY0MjEyODQzMF5BMl5BanBnXkFtZTcwMTczMjQ4Mg@@._V1_SX300.jpg,49,5.8,"413,925",tt1190080,movie,N/A,"$166,112,167",N/A,N/A,True,5.8/10,40%,49/100,,,,
The Messenger,2009,R,04 Dec 2009,113 min,"Drama, Romance, War",Oren Moverman,"Alessandro Camon, Oren Moverman","Ben Foster, Samantha Morton, Woody Harrelson",An American soldier struggles with an ethical dilemma when he becomes involved with a widow of a fallen officer.,"English, Spanish",United States,Nominated for 2 Oscars. 17 wins & 47 nominations total,https://m.media-amazon.com/images/M/MV5BMTQyMzQ2Nzc5Ml5BMl5BanBnXkFtZTcwNDk4NjAyMw@@._V1_SX300.jpg,77,7.1,"37,252",tt0790712,movie,N/A,"$1,109,660",N/A,N/A,True,7.1/10,90%,77/100,,,,
Oh My God,2009,Not Rated,20 Aug 2010,93 min,Documentary,Peter Rodger,Peter Rodger,"Peter Rodger, Hugh Jackman, Ringo Starr","People from all walks of life are asked ""What is God?""",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMTMxNjI4NjkxMF5BMl5BanBnXkFtZTcwMDMxNDUxMg@@._V1_SX300.jpg,30,6.1,479,tt1326954,movie,N/A,"$38,244",N/A,N/A,True,6.1/10,22%,30/100,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
The Box,2022,N/A,N/A,15 min,"Short, Drama",Ammad Saddiq,Ammad Saddiq,"Madeline Appiah, Jyuddah Jaymes, Dereke Oladele",A young man confronts his troubled past and reflects on his torn relationship with his older brother in a confined space.,English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BNDJjYmU3NTktMjkyMC00ODFmLTljODYtMTNkZGQ0YTBhNDM0XkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,N/A,tt16405468,movie,N/A,N/A,N/A,N/A,True,,,,,,,
The Box,2016,N/A,01 Dec 2016,7 min,"Animation, Short, Adventure",Merve Cirisoglu Cotur,Merve Cirisoglu Cotur,N/A,"The happy life of a Syrian kid alters instantly with the sudden war and he finds himself in a state of struggle. The war changes not only lives, but also the role of his box; first as a carefully built toy house, then as a place to t",English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BZmVmNTUwN2YtNWEwMy00MmM4LWE2MjYtOGJjYTlhM2U2MmRhL2ltYWdlXkEyXkFqcGdeQXVyNzA1ODgwNjk@._V1_SX300.jpg,N/A,8.8,74,tt6406662,movie,N/A,N/A,N/A,N/A,True,8.8/10,,,,,,
The Box,2018,N/A,01 Oct 2018,5 min,"Short, Horror","Jessica Curtright, Santiago C. Tapia","Jessica Curtright, Santiago C. Tapia","Travis Burnett, Bonnie Soper","Playing makebelieve alone in the woods, a little boy in a wizard costume stumbles upon an ancient box sealed with a classical padlock, which he picks open.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZWVhY2E1NGUtODg5OS00NjkyLTg4ZjctZjdmNDQzZmRjMWUxXkEyXkFqcGdeQXVyMDkzMjAyMA@@._V1_SX300.jpg,N/A,5.9,210,tt9214766,movie,N/A,N/A,N/A,N/A,True,5.9/10,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
The Box,2003,R,15 May 2003,99 min,"Crime, Drama, Thriller",Richard Pepin,James Russo,"James Russo, Theresa Russell, Brad Dourif","When Frank comes out of prison, and meets Marie, it's a start of a new life, until she accidentally kills her abusive night club owner-ex. Frank helps burying him, when they discover a box, which turns their life upside down.",English,United States,1 win,https://m.media-amazon.com/images/M/MV5BMTg5ODEwNDcxMl5BMl5BanBnXkFtZTcwNDkwNzY5MQ@@._V1_SX300.jpg,N/A,4.9,484,tt0359024,movie,N/A,N/A,N/A,N/A,True,4.9/10,,,,,,
The Box,2014,N/A,01 Nov 2014,9 min,"Short, Horror, Thriller",Jorge Carvajal,Jorge Carvajal,"Samantha Quintero, Marco Salazar",Strange forces test a man's will by forcing him to get rid of a mysterious box with which he has a morbid obsession.,English,Mexico,1 win,https://m.media-amazon.com/images/M/MV5BMjIyMDgzNTExNF5BMl5BanBnXkFtZTgwNjc5NDM5MjE@._V1_SX300.jpg,N/A,N/A,16,tt4085178,movie,N/A,N/A,N/A,N/A,True,,,,,,,
The Box,1967,N/A,23 Feb 1967,9 min,"Animation, Short, Mystery",Fred Wolf,N/A,N/A,"An old bearded man wearing a raincoat walks into a bar and sits down, placing a mysterious box next to him. The other patrons try, with varying success, to find out what's inside.",English,United States,Won 1 Oscar. 1 win total,https://m.media-amazon.com/images/M/MV5BN2Y5ZDYzY2YtNTcwMC00ZmM4LWFjN2YtODkwMWIzMzAzZDYzXkEyXkFqcGc@._V1_SX300.jpg,N/A,6.0,361,tt0061421,movie,N/A,N/A,N/A,N/A,True,6.0/10,,,,,,
The Box,2017,N/A,29 Oct 2017,10 min,"Short, Comedy, Horror",Adam Collins,Adam Collins,"Andrew Bennett, Ned Dennehy, Máire Ní Ghráinne","Driving down a dark country road, Niall picks up a strange man who's cradling a mysterious cardboard box.",English,Ireland,N/A,https://m.media-amazon.com/images/M/MV5BOWE0ZjBhMzktMzk2Ny00NDU5LThhMzctNTQ5NDMxNjYzMTA4XkEyXkFqcGdeQXVyNDI2OTM0Njg@._V1_SX300.jpg,N/A,N/A,N/A,tt6474196,movie,N/A,N/A,N/A,N/A,True,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
The Box,1981,N/A,12 Apr 1981,23 min,"Short, Comedy",Micky Dolenz,"Micky Dolenz, Terry Jones, Michael Palin","Terry Jones, Andrew Lodge, Charles McKeown",A politician's stunt involving a box goes wrong. He finds that he is not alone in the box.,English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BODJlYTY4ODYtNmM5Mi00Y2VjLTlhNjAtYTFhYTQwM2JjZTcwXkEyXkFqcGdeQXVyODUyMTkwOTg@._V1_SX300.jpg,N/A,5.8,30,tt0951271,movie,N/A,N/A,N/A,N/A,True,5.8/10,,,,,,
The Fourth Kind,2009,PG-13,06 Nov 2009,98 min,"Horror, Mystery, Sci-Fi",Olatunde Osunsanmi,"Olatunde Osunsanmi, Terry Robbins","Milla Jovovich, Will Patton, Hakeem Kae-Kazim","The unsolved mystery of a town in Alaska with an extraordinary number of disappearances during the past 40 years, with accusations of a federal cover up.","English, Aboriginal","United Kingdom, Bulgaria, United States",1 nomination total,https://m.media-amazon.com/images/M/MV5BMTY2OTM0NDEyM15BMl5BanBnXkFtZTcwNTAzMDY4Mg@@._V1_SX300.jpg,34,5.9,"85,388",tt1220198,movie,N/A,"$25,486,040",N/A,N/A,True,5.9/10,18%,34/100,,,,
