Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Rating_InternetMovieDatabase,Error,Rating_RottenTomatoes,Rating_Metacritic,Season,Episode,seriesID,totalSeasons
Gift,1993,N/A,20 Aug 1993,80 min,"Documentary, Music","Perry Farrell, Casey Niccoli",N/A,"Eric Avery, Sherri Durell, Perry Farrell, Ice-T",What would you do if you came home and found your wife dead? Do you call the cops? Her parents? That's where the true nightmare begins. A story of love. A man and a woman's final night ...,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNDAzOTRiYWEtYTU1NS00ZjYyLTkyNDktNWJjZTY2MDkxMTg4XkEyXkFqcGdeQXVyOTQxNTcxMTM@._V1_SX300.jpg,N/A,7.9,259,tt0107011,movie,N/A,N/A,N/A,N/A,True,7.9/10,,,,,,,
Gift,2013,N/A,01 Oct 2013,8 min,"Short, Drama",Daniel Yam,"Xiuqi Foo, Daniel Yam","Yoro Tan, Michael Hadrievic Chua, Jon Andre Tan","John despises his father for being a failure in life. When John returns home to facilitate his father's funeral - his life comes to a turning point, as he discovers the true motivation of his misjudged father.",English,Singapore,N/A,N/A,N/A,7.9,76,tt3311934,movie,N/A,N/A,N/A,N/A,True,7.9/10,,,,,,,
Parasite,1982,R,12 Mar 1982,85 min,"Horror, Sci-Fi",Charles Band,"Alan J. Adler, Michael Shoob, Frank Levering","Robert Glaudini, Demi Moore, Luca Bercovici","In a post-apocalyptic USA, a doctor/scientist infected with a new strain of parasite ends up in a small desert town, trying to find a cure.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BN2JhNTI5YzEtM2NmZi00NDY5LWIzY2ItMDZkY2RlOTI4NjhmXkEyXkFqcGc@._V1_SX300.jpg,N/A,4.1,"3,287",tt0084472,movie,N/A,N/A,N/A,N/A,True,4.1/10,,15%,,,,,
Gemini Man,2019,PG-13,11 Oct 2019,117 min,"Action, Sci-Fi, Thriller",Ang Lee,"David Benioff, Billy Ray, Darren Lemke","Will Smith, Mary Elizabeth Winstead, Clive Owen",An over-the-hill hitman faces off against a younger clone of himself.,"English, French","China, United States",1 win & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMWY2ZmM4ZGEtODJjMC00MzY5LTk4ZmYtNzA5NmRhYzA5Y2EzXkEyXkFqcGc@._V1_SX300.jpg,38,5.7,"129,142",tt1025100,movie,N/A,"$48,546,770",N/A,N/A,True,5.7/10,,27%,38/100,,,,
Parasite,2006,18,05 Oct 2006,20 min,"Short, Horror",David Zellis,David Zellis,"Jaimz Asmundson, Kirt Bobbi, Harlan Bruyere","Jock Van Rysell is a middle age psychiatrist on the verge of a nervous breakdown. When a parasitic male patient of his interrupts his comfortable life, his sanity is literally flushed down the toilet.",English,Canada,N/A,N/A,N/A,5.4,11,tt0934539,movie,N/A,N/A,N/A,N/A,True,5.4/10,,,,,,,
Joker,2019,R,04 Oct 2019,122 min,"Crime, Drama, Thriller",Todd Phillips,"Todd Phillips, Scott Silver, Bob Kane","Joaquin Phoenix, Robert De Niro, Zazie Beetz","Arthur Fleck, a party clown and a failed stand-up comedian, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrace the life of chaos in Gotham City.","English, German","United States, Canada, Australia",Won 2 Oscars. 120 wins & 246 nominations total,https://m.media-amazon.com/images/M/MV5BNzY3OWQ5NDktNWQ2OC00ZjdlLThkMmItMDhhNDk3NTFiZGU4XkEyXkFqcGc@._V1_SX300.jpg,59,8.3,"1,637,986",tt7286456,movie,N/A,"$335,477,657",N/A,N/A,True,8.3/10,,68%,59/100,,,,
The Day Shall Come,2019,Unrated,27 Sep 2019,87 min,"Comedy, Crime",Christopher Morris,"Jesse Armstrong, Sean Gray, Tony Roche","Andrel McPherson, Miles Robbins, Marchánt Davis",An impoverished preacher who brings hope to the Miami projects is offered cash to save his family from eviction. He has no idea his sponsor works for the FBI who plan to turn him into a criminal by fueling his madcap revolutionary...,English,"United Kingdom, United States",N/A,https://m.media-amazon.com/images/M/MV5BMDRiMWM3NjUtNjQyMy00ZDUxLWExMmQtNTIxMWQ1N2Q3MmUzXkEyXkFqcGc@._V1_SX300.jpg,70,5.9,"4,374",tt7078658,movie,N/A,"$26,972",N/A,N/A,True,5.9/10,,65%,70/100,,,,
Abominable,2006,R,06 Jun 2021,94 min,"Horror, Sci-Fi, Thriller",Ryan Schifrin,"Ryan Schifrin, James Morrison","Matt McCoy, Haley Joel, Christien Tinsley","A man, crippled in a climbing accident, returns to his cabin in the woods as part of his rehabilitation, but he wasn't prepared for the imminent onslaught.",English,United States,2 wins total,https://m.media-amazon.com/images/M/MV5BMTUyNDkxMTU0MV5BMl5BanBnXkFtZTcwOTUwMjYyMQ@@._V1_SX300.jpg,31,5.1,"5,128",tt0402743,movie,N/A,"$1,810",N/A,N/A,True,5.1/10,,67%,31/100,,,,
Abominable,2019,PG,27 Sep 2019,97 min,"Animation, Adventure, Comedy","Jill Culton, Todd Wilderman",Jill Culton,"Chloe Bennet, Albert Tsai, Tenzing Norgay Trainor",Three teenagers must help a Yeti return to his family while avoiding a wealthy man and a zoologist who want him for their own needs.,"English, Mandarin","United States, China, Japan",4 wins & 23 nominations total,https://m.media-amazon.com/images/M/MV5BNDdiYTViMzQtNDhkZC00YTgzLWI2NWItODZkNjVlMDZkMDNiXkEyXkFqcGc@._V1_SX300.jpg,61,7.0,"45,749",tt6324278,movie,N/A,"$61,270,390",N/A,N/A,True,7.0/10,,83%,61/100,,,,
Abominable,2020,N/A,01 Oct 2020,72 min,Horror,Jamaal Burden,"J.D. Ellis, Joseph Daniel Ellis","Katrina Mattson, Amy Gordon, Robert Berlin",A scientific expedition team searching the Himalayan mountains for a rare plant which could change the face of modern medicine find themselves hunted by a territorial yeti.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNThhMTZjOTMtMmQzOS00YmQ0LTk1OTItNzMxOWZhZTZkYTJiXkEyXkFqcGc@._V1_SX300.jpg,N/A,2.6,"1,139",tt10674930,movie,N/A,N/A,N/A,N/A,True,2.6/10,,,,,,,
Judy,2016,N/A,17 Oct 2016,11 min,"Short, Comedy, Romance","Ariel Gardner, Alex Kavutskiy","Ariel Gardner, Alex Kavutskiy","Kate Freund, Paul Isakson, Brady Novak",A man develops an intimate relationship with a female android.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZTgzNGE2MWQtYjY2NS00YzE1LWExN2EtNmM0ZTcwMDMyMmZhXkEyXkFqcGdeQXVyNTcwMDgzNTY@._V1_SX300.jpg,N/A,7.9,24,tt5635904,movie,N/A,N/A,N/A,N/A,True,7.9/10,,,,,,,
Judy,2014,Unrated,27 May 2014,16 min,"Short, Crime, Horror",Jeff Hayes,Jeff Hayes,"Karen Fields, Lynna Premo Cuneo, Matt Serafini","Karen Fields reprises her role as unhappy camper Judy in this short film follow-up to ""Sleepaway Camp"" and ""Return To Sleepaway Camp"" to inflict bloody revenge on two abusive parents.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BODc2NTkwMGEtMWZiZS00MTAyLTlhMWMtOGM2YTM1ZDQ2YTFmXkEyXkFqcGdeQXVyODUxNTA0MTE@._V1_SX300.jpg,N/A,4.3,99,tt3710646,movie,N/A,N/A,N/A,N/A,True,4.3/10,,,,,,,
The Death of Dick Long,2019,R,07 Aug 2020,100 min,"Comedy, Crime, Drama",Daniel Scheinert,Billy Chew,"Michael Abbott Jr., Virginia Newcomb, Andre Hyland","Dick died last night, and Zeke and Earl don't want anybody finding out how. That's too bad, 'cause news travels fast in small-town Alabama.",English,United States,4 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BNGJjODE0OGUtYzI4ZC00ZDcxLWI1YTYtYTkzNzg0YmVmZTBmXkEyXkFqcGc@._V1_SX300.jpg,69,6.4,"8,124",tt9356952,movie,N/A,"$36,856",N/A,N/A,True,6.4/10,,75%,69/100,,,,
Judy,2019,PG-13,04 Oct 2019,118 min,"Biography, Drama, Music",Rupert Goold,"Tom Edge, Peter Quilter","Renée Zellweger, Jessie Buckley, Finn Wittrock",Legendary performer Judy Garland arrives in London in the winter of 1968 to perform a series of sold-out concerts.,English,"United Kingdom, France, United States",Won 1 Oscar. 24 wins & 68 nominations total,https://m.media-amazon.com/images/M/MV5BYjY1OTJlZmQtNTEwNy00MjI1LWE4MWQtMzJlNTZmN2FmN2U5XkEyXkFqcGc@._V1_SX300.jpg,66,6.8,"57,285",tt7549996,movie,N/A,"$24,313,888",N/A,N/A,True,6.8/10,,82%,66/100,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,Incorrect IMDb ID.,,,,,,
Judy,1970,R,01 Jul 1970,75 min,"Crime, Drama","David W. Hanson, George Meadows","George Mead, George Meadows","Dave Haller, Sandy O'Hara, Garry Achzieger","A depraved sex killer preys on women of ill repute in the red light district area of Boston, Massachusetts. Hard-nosed maverick private detective Gunner Sloan gets hired by the wealthy Fairchild to find the psycho after the creep ...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYTZiMTlkYWItODcyNS00ZTgzLTk1MzctMGQ0MGE3M2U0ZTIxXkEyXkFqcGc@._V1_SX300.jpg,N/A,3.7,74,tt0222078,movie,N/A,N/A,N/A,N/A,True,3.7/10,,,,,,,
Judy,2014,Not Rated,15 Nov 2014,80 min,"Horror, Thriller",Emanuele De Santi,Emanuele De Santi,"Jade Matthew, Carol Bolt, Ashleigh Whitfield","Mary's mistake was to ignore a group of performance artists (The Crows) in the street. Tormented and alone in her home, Mary quickly learns that The Crows' art is crafted in blood and terror.",English,Italy,N/A,https://m.media-amazon.com/images/M/MV5BMjI0ODA3OTM4M15BMl5BanBnXkFtZTgwOTUxMTI3MzE@._V1_SX300.jpg,N/A,4.3,702,tt4164244,movie,N/A,N/A,N/A,N/A,True,4.3/10,,,,,,,
Ad Astra,2019,PG-13,20 Sep 2019,123 min,"Adventure, Drama, Mystery",James Gray,"James Gray, Ethan Gross","Brad Pitt, Tommy Lee Jones, Ruth Negga","Astronaut Roy McBride undertakes a mission across an unforgiving solar system to uncover the truth about his missing father and his doomed expedition that now, 30 years later, threatens the universe.","English, Norwegian","United States, China, Brazil",Nominated for 1 Oscar. 10 wins & 75 nominations total,https://m.media-amazon.com/images/M/MV5BOGRhOGNjZjEtNTU2Ni00MDlmLWI3MWEtNzc1OGE2ZmEwZGNhXkEyXkFqcGc@._V1_SX300.jpg,80,6.5,"274,765",tt2935510,movie,N/A,"$50,188,370",N/A,N/A,True,6.5/10,,83%,80/100,,,,
Fantastic Fungi,2019,Not Rated,11 Oct 2019,81 min,Documentary,Louie Schwartzberg,Mark Monroe,"Brie Larson, Andrew Weil, Giuliana Furci","Fantastic Fungi is a descriptive time-lapse journey about the magical, mysterious and medicinal world of fungi and their power to heal, sustain and contribute to the regeneration of life on Earth that began 3.5 billion years ago.",English,United States,1 nomination total,https://m.media-amazon.com/images/M/MV5BOGYxNzg3ZGEtYWU2MS00ODBmLWI1NzMtNTdmZDMzMzVkYzE4XkEyXkFqcGc@._V1_SX300.jpg,70,7.4,"12,100",tt8258074,movie,N/A,"$1,788,322",N/A,N/A,True,7.4/10,,100%,70/100,,,,
Rambo: Last Blood,2019,R,20 Sep 2019,89 min,"Action, Crime, Thriller",Adrian Grunberg,"Matthew Cirulnick, Sylvester Stallone, Dan Gordon","Sylvester Stallone, Paz Vega, Sergio Peris-Mencheta",Rambo must confront his past and unearth his ruthless combat skills to exact revenge in a final mission.,"English, Spanish","United States, Hong Kong, France, Bulgaria, Spain, Sweden, Portugal",4 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BMWM5NzVlNzMtMDNhNy00OGMxLTlmYTktOGIwMzRlZmE0ZWVmXkEyXkFqcGc@._V1_SX300.jpg,26,6.1,"116,617",tt1206885,movie,N/A,"$44,819,352",N/A,N/A,True,6.1/10,,,26/100,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,Incorrect IMDb ID.,,,,,,
Out of Liberty,2019,PG,13 Sep 2019,111 min,"Drama, Western",Garrett Batty,"Stephen Dethloff, Garrett Batty, S. Mckay Stevens","Cate Allen, Corbin Allred, Larry Bagby","Winter 1839. LIBERTY, MISSOURI. Local jailer, Samuel Tillery (Jasen Wade) is tasked with watching Missouri's most wanted men as they await their upcoming hearing. Caught between the local Missourians' increased drive to remove the...",English,United States,3 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BYzdmOGEyMDUtMmU1Ni00ZDM4LWE3NWYtMzRkMmU3OTlhZTJlXkEyXkFqcGc@._V1_SX300.jpg,N/A,4.5,469,tt9844368,movie,N/A,"$265,279",N/A,N/A,True,4.5/10,,,,,,,
Hustlers,2019,R,13 Sep 2019,110 min,"Comedy, Crime, Drama",Lorene Scafaria,"Lorene Scafaria, Jessica Pressler","Constance Wu, Jennifer Lopez, Julia Stiles","Inspired by the viral New York Magazine article, ""Hustlers"" follows a crew of savvy former strip-club employees who band together to turn the tables on their Wall Street clients.","English, Russian",United States,25 wins & 79 nominations total,https://m.media-amazon.com/images/M/MV5BYzczZjhlODEtZDk5OS00MTdjLThlZWEtYzExY2IxNWVlMjk1XkEyXkFqcGc@._V1_SX300.jpg,79,6.3,"111,577",tt5503686,movie,N/A,"$104,963,598",N/A,N/A,True,6.3/10,,88%,79/100,,,,
The Goldfinch,2019,R,13 Sep 2019,149 min,"Crime, Drama, Mystery",John Crowley,"Peter Straughan, Donna Tartt","Oakes Fegley, Ansel Elgort, Nicole Kidman","A boy in New York is taken in by a wealthy family after his mother is killed in a bombing at the Metropolitan Museum of Art. In a rush of panic, he steals 'The Goldfinch', a painting that eventually draws him into a world of crime.","English, Ukrainian, German, French",United States,3 nominations total,https://m.media-amazon.com/images/M/MV5BOWM2YjgxZmYtNjNhYi00OTA5LWI3ODMtOTllNzc1ZDAyN2Q0XkEyXkFqcGc@._V1_SX300.jpg,40,6.4,"28,568",tt3864056,movie,N/A,"$5,332,621",N/A,N/A,True,6.4/10,,24%,40/100,,,,
Desolation Center,2018,N/A,25 Jan 2019,93 min,Documentary,Stuart Swezey,N/A,"Anthony Ausgang, Joe Baiza, Bob Bert","The story of a group of 1980s punk artists who started organizing and playing desert shows that later inspired Burning Man, Coachella, and Lollapalooza.",English,United States,3 nominations,https://m.media-amazon.com/images/M/MV5BMjIyMTE2NTA0Ml5BMl5BanBnXkFtZTgwMzcxOTUyNzM@._V1_SX300.jpg,N/A,7.4,206,tt7130802,movie,N/A,"$32,016",N/A,N/A,True,7.4/10,,100%,,,,,
Chasing Einstein,2019,N/A,13 Sep 2019,82 min,Documentary,"Steve Brown, Timothy Wheeler",Eric Myerson,"Elena Aprile, Barry Barish, Laura Baudis","Nobody has managed to topple Einstein's theory of relativity, even though it leads to the shocking conclusion that most of the universe must be made of a mysterious form of invisible matter that nobody has observed. Now physics st...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNWQ2NzNiNTItOTgxYS00MTM3LTgyNjctOTRiNzYxY2QxMzM2XkEyXkFqcGdeQXVyMjMxNjEwMTA@._V1_SX300.jpg,N/A,7.1,44,tt9799626,movie,N/A,"$24,057",N/A,N/A,True,7.1/10,,,,,,,
The Sound of Silence,2019,Unrated,13 Sep 2019,88 min,Drama,Michael Tyburski,"Ben Nabors, Michael Tyburski","Peter Sarsgaard, Rashida Jones, Tony Revolori","A successful ""house tuner"" in New York City, who calibrates the sound in people's homes in order to adjust their moods, meets a client with a problem he can't solve.",English,United States,3 nominations,https://m.media-amazon.com/images/M/MV5BOGMzY2UwN2YtOTMyNC00NWFlLTlmY2EtOGRhNmY5M2RiMzczXkEyXkFqcGc@._V1_SX300.jpg,66,5.7,"1,573",tt9352926,movie,N/A,"$20,013",N/A,N/A,True,5.7/10,,63%,66/100,,,,
Another Day of Life,2018,N/A,26 Oct 2018,85 min,"Animation, Biography","Raúl de la Fuente, Damian Nenow","Raúl de la Fuente, Amaia Remirez, Niall Johnson","Artur Queiroz, Luis Alberto Ferreira, Carlota Machado","A gripping story of a three-month-long journey that renowned Polish reporter Ryszard Kapuscinski took across Angola, ravaged by a war in which the front lines shifted like a kaleidoscope, from one day to the next.","English, Portuguese, Polish, Spanish","Spain, Poland, Belgium, Germany, France, Hungary",14 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BNjBjNTVmNzQtYTc5Ny00NzYyLTljOTgtMjI2ZjFkZTViMTI0XkEyXkFqcGc@._V1_SX300.jpg,78,7.3,"2,850",tt2967856,movie,N/A,"$3,190",N/A,N/A,True,7.3/10,,89%,78/100,,,,
Rapid Response,2019,PG-13,06 Sep 2019,99 min,"Documentary, Sport","Roger Hinze, Michael William Miles",N/A,"Stephen Olvey, Terry Trammell, Mario Andretti","Rapid Response is a fast-paced documentary that tells the story of medical and safety professionals who refused to accept the high mortality rate among American race car drivers, fundamentally altering the history of Motorsports.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMDhkOTE4MTctODJhOC00ZDY2LWI2MzktNzMwZGUxZTFlYjkxXkEyXkFqcGdeQXVyOTIxOTEyMzM@._V1_SX300.jpg,52,8.3,72,tt10276114,movie,N/A,"$13,294",N/A,N/A,True,8.3/10,,67%,52/100,,,,
Before You Know It,2019,Not Rated,30 Aug 2019,98 min,"Comedy, Drama",Hannah Pearl Utt,"Jen Tullock, Hannah Pearl Utt","Hannah Pearl Utt, Ayden Mayeri, Oona Yaffe",Two sisters find out that the mother they thought was dead is alive and starring on a soap opera.,English,United States,6 nominations total,https://m.media-amazon.com/images/M/MV5BNjA3MjdhMDctOTA5ZC00ZjlkLWJiZTgtNzBhNmM0N2ZlMTJiXkEyXkFqcGc@._V1_SX300.jpg,61,5.3,861,tt8856090,movie,N/A,"$151,507",N/A,N/A,True,5.3/10,,83%,61/100,,,,
Official Secrets,2019,R,30 Aug 2019,112 min,"Biography, Crime, Drama",Gavin Hood,"Sara Bernstein, Gregory Bernstein, Gavin Hood","Keira Knightley, Matt Smith, Matthew Goode",The true story of a British whistleblower who leaked information to the press about an illegal NSA spy operation designed to push the UN Security Council into sanctioning the 2003 invasion of Iraq.,"English, Mandarin","United Kingdom, United States, China, Canada",5 wins & 16 nominations total,https://m.media-amazon.com/images/M/MV5BNGM2NzcwZjItOTE4Mi00Yzc5LWI3ZmItYTdkZWQ0NDYxN2YzXkEyXkFqcGc@._V1_SX300.jpg,63,7.3,"59,377",tt5431890,movie,N/A,"$1,988,546",N/A,N/A,True,7.3/10,,82%,63/100,,,,
Before You Know It,2013,Not Rated,30 May 2014,110 min,"Documentary, Biography, Drama",PJ Raval,"Kyle Henry, PJ Raval","Dennis Creamer, Ty Martin, Robert Mainor","From Stonewall to #LoveWins, three gay seniors navigate the adventures, challenges and surprises of life and love in their golden years.",English,United States,5 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BMjEwMDM0MTAwNV5BMl5BanBnXkFtZTgwMDgyMDU3MTE@._V1_SX300.jpg,68,6.4,263,tt2473762,movie,N/A,"$6,717",N/A,N/A,True,6.4/10,,79%,68/100,,,,
Before You Know It,2022,N/A,23 Oct 2022,1 min,"Short, Drama",Brandon Singh,Brandon Singh,N/A,N/A,N/A,Canada,N/A,https://m.media-amazon.com/images/M/MV5BYTEyMzgyMWYtZmIyMC00M2I4LWFlYTUtNWQyNDIzMDY0YzAwXkEyXkFqcGdeQXVyMjgzMDYyMjA@._V1_SX300.jpg,N/A,N/A,N/A,tt22985226,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,Incorrect IMDb ID.,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,Incorrect IMDb ID.,,,,,,
Angel Has Fallen,2019,R,23 Aug 2019,121 min,"Action, Thriller",Ric Roman Waugh,"Robert Mark Kamen, Matt Cook, Ric Roman Waugh","Gerard Butler, Frederick Schmidt, Danny Huston","Mike Banning is framed for the attempted assassination of the President, and now must evade his own agency, and the FBI, as he tries to uncover the real threat.",English,"United States, United Kingdom, Portugal, Canada, Bulgaria",1 nomination total,https://m.media-amazon.com/images/M/MV5BZmY4YTJlZjktNmVkYi00MzBjLTg3MTAtMGZiNWUwY2NiMmM5XkEyXkFqcGc@._V1_SX300.jpg,45,6.4,"119,841",tt6189022,movie,N/A,"$69,030,436",N/A,N/A,True,6.4/10,,38%,45/100,,,,
Overcomer,2019,PG,23 Aug 2019,119 min,"Drama, Family, Sport",Alex Kendrick,"Alex Kendrick, Stephen Kendrick","Alex Kendrick, Priscilla C. Shirer, Cameron Arnett","A high-school basketball coach is asked to take over the cross-country program, where he encounters a troubled teen.",English,United States,2 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BMmVjODJhYTctZDIxMi00OThhLWE5N2MtYmNhODA1ZGI4MDM4XkEyXkFqcGc@._V1_SX300.jpg,17,6.7,"6,038",tt8186318,movie,N/A,"$34,746,945",N/A,N/A,True,6.7/10,,59%,17/100,,,,
Blinded by the Light,1980,N/A,16 Dec 1980,90 min,Drama,John A. Alonzo,"Robin F. Brancato, Robin Vote, Stephen Black","Kristy McNichol, Jimmy McNichol, Anne Jackson","A young guy joins a cult and his parents send his sister and the help of a specialist to bring him home, but she also gets swept up in it.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYTllNjA5ODQtNzg4OS00MDE2LWIyZTQtYzljNjA5NjQyYTY4XkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_SX300.jpg,N/A,6.6,126,tt0080444,movie,N/A,N/A,N/A,N/A,True,6.6/10,,,,,,,
47 Meters Down: Uncaged,2019,PG-13,16 Aug 2019,90 min,"Adventure, Drama, Horror",Johannes Roberts,"Johannes Roberts, Ernest Riera","Sophie Nélisse, Corinne Foxx, Brianne Tju",Two sisters diving in a ruined underwater city quickly learn they've entered the territory of the deadliest shark species in the claustrophobic labyrinth of submerged caves.,"English, Spanish","United Kingdom, United States",N/A,https://m.media-amazon.com/images/M/MV5BZWM4ZWQyOGMtYTczMC00MGYyLWIxNjktYzg5MThmYzFhZGI1XkEyXkFqcGc@._V1_SX300.jpg,43,5.0,"31,951",tt7329656,movie,N/A,"$22,260,900",N/A,N/A,True,5.0/10,,44%,43/100,,,,
Good Boys,2019,R,16 Aug 2019,90 min,"Adventure, Comedy",Gene Stupnitsky,"Lee Eisenberg, Gene Stupnitsky","Jacob Tremblay, Keith L. Williams, Brady Noon","Three 6th-grade boys ditch school and embark on an epic journey while carrying accidentally stolen drugs, being hunted by teenage girls, and trying to make their way home in time for a long-awaited party.",English,"United States, Canada",2 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BMTc1NjIzODAxMF5BMl5BanBnXkFtZTgwMTgzNzk1NzM@._V1_SX300.jpg,60,6.7,"85,643",tt6977338,movie,N/A,"$83,140,306",N/A,N/A,True,6.7/10,,37%,60/100,,,,
Blinded by the Light,2019,PG-13,16 Aug 2019,118 min,"Comedy, Drama, Music",Gurinder Chadha,"Sarfraz Manzoor, Gurinder Chadha, Paul Mayeda Berges","Billy Barratt, Ronak Singh Chadha Berges, Viveik Kalra","In England in 1987, a teenager from an Asian family learns to live his life, understand his family and find his own voice through the music of American rock star Bruce Springsteen.","English, Urdu","United Kingdom, United States, France",2 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BODA4YjY1NTItODUwNi00NDM2LWJjNTgtYjY4NmFiY2E5YzQ0XkEyXkFqcGc@._V1_SX300.jpg,71,6.9,"27,899",tt8266310,movie,N/A,"$11,901,145",N/A,N/A,True,6.9/10,,89%,71/100,,,,
